active_script_var_longst	0x75CDE8
active_script_var_unitst	0x75CDCC
art_image_element_creaturest	0x7530A0
art_image_element_itemst	0x753000
art_image_element_plantst	0x753078
art_image_element_shapest	0x753028
art_image_element_treest	0x753050
art_image_elementst	0x753118
art_image_property_intransitive_verbst	0x7530E0
art_image_property_transitive_verbst	0x7530C8
art_image_propertyst	0x7530F8
building_actualst	0x753810
building_animaltrapst	0x755DA4
building_aqueductst	0x7548D4
building_archerytargetst	0x754D74
building_armorstandst	0x753A60
building_bedst	0x755214
building_boxst	0x75430C
building_bridgest	0x754684
building_cabinetst	0x754434
building_cagest	0x754FC4
building_chainst	0x754E9C
building_chairst	0x755464
building_channelst	0x755B54
building_civzonest	0x7541F0
building_coffinst	0x7556B4
building_doorst	0x75455C
building_farmplotst	0x755C7C
building_floodgatest	0x7547AC
building_furnacest	0x755ECC
building_roadst	0x75636C
building_shopst	0x75558C
building_siegeenginest	0x7550EC
building_statuest	0x755904
building_stockpilest	0x7540D4
building_supportst	0x754B24
building_tablest	0x75533C
building_tradedepotst	0x75611C
building_trapst	0x7549FC
building_wagonst	0x756244
building_weaponrackst	0x753938
building_weaponst	0x754C4C
building_wellst	0x7557DC
building_windowst	0x755A2C
building_workshopst	0x755FF4
buildingst	0x753194
general_ref_artifactst	0x7658B4
general_ref_building_cagedst	0x765FEC
general_ref_building_chainst	0x766018
general_ref_building_civzone_assignedst	0x76609C
general_ref_building_holderst	0x765F94
general_ref_building_triggerst	0x766070
general_ref_building_triggertargetst	0x766044
general_ref_building_unk16st	0x7660C8
general_ref_building_unk21st	0x765FC0
general_ref_coinbatchst	0x75D4BC
general_ref_contained_in_itemst	0x76614C
general_ref_contains_itemst	0x766228
general_ref_contains_unitst	0x766280
general_ref_entity_art_imagest	0x75A5B0
general_ref_item_typest	0x765888
general_ref_item_unk7st	0x766254
general_ref_mapsquarest	0x7658E0
general_ref_projectilest	0x7661FC
general_ref_unit_holderst	0x766120
general_ref_unit_itemownerst	0x7661A4
general_ref_unit_tradebringerst	0x766178
general_ref_unit_traineest	0x7661D0
general_ref_unit_unk5st	0x7662AC
general_ref_unit_workerst	0x7660F4
general_refst	0x75A5DC
history_event_add_hf_entity_linkst	0x75C8EC
history_event_agreements_voidedst	0x75C640
history_event_artifact_createdst	0x75C008
history_event_artifact_droppedst	0x75CABC
history_event_artifact_foundst	0x75C9D4
history_event_artifact_hiddenst	0x75874C
history_event_artifact_lostst	0x75C22C
history_event_artifact_possessedst	0x7587C0
history_event_artifact_recoveredst	0x75CA48
history_event_created_sitest	0x75C804
