"Type","Level","Offset","Size","Field Type","Field Name","Elt Type","Comment"
"activity_entry","0","0x0","0x1c","struct-type","activity_entry","",""
"activity_entry","1","0x0","0x4","int32_t","id","",""
"activity_entry","1","0x4","0x2","int16_t","is_individual","",""
"activity_entry","1","0x8","0x10","stl-vector","events","activity_event*",""
"activity_entry","1","0x18","0x4","int32_t","unk2","",""
"activity_event","0","0x0","0x5c","class-type","activity_event","",""
"activity_event","1","0x0","0x4","pointer","_vtable","vtable",""
"activity_event","1","0x4","0x4","int32_t","event_id","","mostly, but not always, the index in activity.events"
"activity_event","1","0x8","0x4","int32_t","activity_id","",""
"activity_event","1","0xc","0x4","int32_t","subevent_id","","-1 unless subevent"
"activity_event","1","0x10","0x4","int32_t","num_subevents","","0 for ind.drill, 2 for all in training session"
"activity_event","1","0x14","0x10","stl-vector","hist_figure_ids","int32_t",""
"activity_event","1","0x24","0x10","stl-vector","participant_ids","int32_t",""
"activity_event","1","0x34","0x10","stl-vector","hist_figure_ids2","int32_t",""
"activity_event","1","0x44","0x10","stl-vector","participant_ids2","int32_t",""
"activity_event","1","0x54","0x4","int32_t","activity_id2","",""
"activity_event","1","0x58","0x4","int32_t","event_id2","",""
"activity_event_combat_trainingst","0","0x0","0x6c","class-type","activity_event_combat_trainingst","",""
"activity_event_combat_trainingst","1","0x0","0x5c","activity_event","","",""
"activity_event_combat_trainingst","1","0x5c","0x4","int32_t","building_id","",""
"activity_event_combat_trainingst","1","0x60","0x4","int32_t","hist_figure_id","",""
"activity_event_combat_trainingst","1","0x64","0x4","int32_t","unit_id","",""
"activity_event_combat_trainingst","1","0x68","0x4","int32_t","unk5","",""
"activity_event_individual_skill_drillst","0","0x0","0x64","class-type","activity_event_individual_skill_drillst","",""
"activity_event_individual_skill_drillst","1","0x0","0x5c","activity_event","","",""
"activity_event_individual_skill_drillst","1","0x5c","0x4","int32_t","building_id","",""
"activity_event_individual_skill_drillst","1","0x60","0x4","int32_t","unk5","",""
"activity_event_ranged_practicest","0","0x0","0x64","class-type","activity_event_ranged_practicest","",""
"activity_event_ranged_practicest","1","0x0","0x5c","activity_event","","",""
"activity_event_ranged_practicest","1","0x5c","0x4","int32_t","","",""
"activity_event_ranged_practicest","1","0x60","0x4","int32_t","","",""
"activity_event_skill_demonstrationst","0","0x0","0x7c","class-type","activity_event_skill_demonstrationst","",""
"activity_event_skill_demonstrationst","1","0x0","0x5c","activity_event","","",""
"activity_event_skill_demonstrationst","1","0x5c","0x4","int32_t","building_id","",""
"activity_event_skill_demonstrationst","1","0x60","0x4","int32_t","hist_figure_id","",""
"activity_event_skill_demonstrationst","1","0x64","0x4","int32_t","unit_id","",""
"activity_event_skill_demonstrationst","1","0x68","0x2","int16_t","unk5","",""
"activity_event_skill_demonstrationst","1","0x6c","0x4","int32_t","unk6","",""
"activity_event_skill_demonstrationst","1","0x70","0x4","int32_t","unk7","",""
"activity_event_skill_demonstrationst","1","0x74","0x4","int32_t","unk8","",""
"activity_event_skill_demonstrationst","1","0x78","0x4","int32_t","unk9","",""
"activity_event_sparringst","0","0x0","0x74","class-type","activity_event_sparringst","",""
"activity_event_sparringst","1","0x0","0x5c","activity_event","","",""
"activity_event_sparringst","1","0x5c","0x4","int32_t","","",""
"activity_event_sparringst","1","0x60","0x10","stl-vector","","padding",""
"activity_event_sparringst","1","0x70","0x4","int32_t","","",""
"activity_event_training_sessionst","0","0x0","0x5c","class-type","activity_event_training_sessionst","",""
