"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"cursor","0","0x789c1c","0xc","compound","cursor","",""
"cursor","1","0x789c1c","0x4","int32_t","cursor.x","",""
"cursor","1","0x789c20","0x4","int32_t","cursor.y","",""
"cursor","1","0x789c24","0x4","int32_t","cursor.z","",""
"selection_rect","0","0x789c28","0x18","compound","selection_rect","",""
"selection_rect","1","0x789c28","0x4","int32_t","selection_rect.start_x","",""
"selection_rect","1","0x789c2c","0x4","int32_t","selection_rect.start_y","",""
"selection_rect","1","0x789c30","0x4","int32_t","selection_rect.start_z","",""
"selection_rect","1","0x789c34","0x4","int32_t","selection_rect.end_x","","only valid for an instant while its being completed"
"selection_rect","1","0x789c38","0x4","int32_t","selection_rect.end_y","",""
"selection_rect","1","0x789c3c","0x4","int32_t","selection_rect.end_z","",""
"control_mode","0","0x789c40","0x4","int32_t","control_mode","",""
"game_mode","0","0x789c44","0x4","int32_t","game_mode","",""
"ui_menu_width","0","0x789c60","0x1","int8_t","ui_menu_width","",""
"ui_area_map_width","0","0x789c61","0x1","int8_t","ui_area_map_width","",""
"enabler","0","0x7a59b8","0x210","struct-type","enabler","",""
"enabler","1","0x7a59b8","0x1","bool","enabler.fullscreen","",""
"enabler","1","0x7a59bc","0x18","stl-deque","enabler.overridden_grid_sizes","enabler::anon2",""
"enabler","1","0x7a59d4","0x4","pointer","enabler.renderer","padding",""
"enabler","1","0x7a59d8","0x4","int32_t","enabler.calculated_fps","",""
"enabler","1","0x7a59dc","0x4","int32_t","enabler.calculated_gfps","",""
"enabler","1","0x7a59e0","0x18","stl-deque","enabler.frame_timings","int32_t",""
"enabler","1","0x7a59f8","0x18","stl-deque","enabler.gframe_timings","int32_t",""
"enabler","1","0x7a5a10","0x4","int32_t","enabler.frame_sum","",""
"enabler","1","0x7a5a14","0x4","int32_t","enabler.gframe_sum","",""
"enabler","1","0x7a5a18","0x4","int32_t","enabler.frame_last","",""
"enabler","1","0x7a5a1c","0x4","int32_t","enabler.gframe_last","",""
"enabler","1","0x7a5a20","0x4","s-float","enabler.fps","",""
"enabler","1","0x7a5a24","0x4","s-float","enabler.gfps","",""
"enabler","1","0x7a5a28","0x4","s-float","enabler.fps_per_gfps","",""
"enabler","1","0x7a5a2c","0x4","uint32_t","enabler.last_tick","",""
"enabler","1","0x7a5a30","0x4","s-float","enabler.outstanding_frames","",""
"enabler","1","0x7a5a34","0x4","s-float","enabler.outstanding_gframes","",""
"enabler","1","0x7a5a38","0x4","uint32_t","enabler.async_frames","",""
"enabler","1","0x7a5a3c","0x1","bool","enabler.async_paused","",""
"enabler","1","0x7a5a40","0x20","compound","enabler.async_tobox","",""
"enabler","2","0x7a5a40","0x4","pointer","enabler.async_tobox.sem","padding",""
"enabler","2","0x7a5a44","0x18","stl-deque","enabler.async_tobox.queue","enabler::anon3",""
"enabler","2","0x7a5a5c","0x4","pointer","enabler.async_tobox.sem_fill","padding",""
"enabler","1","0x7a5a60","0x20","compound","enabler.async_frombox","",""
"enabler","2","0x7a5a60","0x4","pointer","enabler.async_frombox.sem","padding",""
"enabler","2","0x7a5a64","0x18","stl-deque","enabler.async_frombox.queue","enabler::anon4",""
"enabler","2","0x7a5a7c","0x4","pointer","enabler.async_frombox.sem_fill","padding",""
"enabler","1","0x7a5a80","0x20","compound","enabler.async_zoom","",""
"enabler","2","0x7a5a80","0x4","pointer","enabler.async_zoom.sem","padding",""
"enabler","2","0x7a5a84","0x18","stl-deque","enabler.async_zoom.queue","enum",""
"enabler","2","0x7a5a9c","0x4","pointer","enabler.async_zoom.sem_fill","padding",""
"enabler","1","0x7a5aa0","0x4","pointer","enabler.async_fromcomplete","padding",""
"enabler","1","0x7a5aa4","0x4","uint32_t","enabler.renderer_threadid","",""
"enabler","1","0x7a5aa8","0x10","stl-string","enabler.command_line","",""
"enabler","1","0x7a5ab8","0xc0","static-array","enabler.ccolor","enabler::anon5",""
"enabler","1","0x7a5b78","0x4","bitfield","enabler.flag","",""
"enabler","2","0x7a5b78","0x0.1","flag-bit","enabler.flag.render","",""
"enabler","2","0x7a5b78.1","0x0.1","flag-bit","enabler.flag.maxfps","",""
"enabler","1","0x7a5b7c","0x1","int8_t","enabler.mouse_lbut","",""
"enabler","1","0x7a5b7d","0x1","int8_t","enabler.mouse_rbut","",""
"enabler","1","0x7a5b7e","0x1","int8_t","enabler.mouse_lbut_down","",""
"enabler","1","0x7a5b7f","0x1","int8_t","enabler.mouse_rbut_down","",""
"enabler","1","0x7a5b80","0x1","int8_t","enabler.mouse_lbut_lift","",""
"enabler","1","0x7a5b81","0x1","int8_t","enabler.mouse_rbut_lift","",""
"enabler","1","0x7a5b82","0x1","int8_t","enabler.tracking_on","",""
"enabler","1","0x7a5b84","0x1c","compound","enabler.textures","",""
"enabler","2","0x7a5b84","0x10","stl-vector","enabler.textures.raws","padding*",""
"enabler","2","0x7a5b94","0x1","bool","enabler.textures.uploaded","",""
"enabler","2","0x7a5b98","0x4","uint32_t","enabler.textures.gl_catalog","",""
"enabler","2","0x7a5b9c","0x4","pointer","enabler.textures.gl_texpos","padding",""
"enabler","1","0x7a5ba0","0x4","int32_t","enabler.sync","",""
"enabler","1","0x7a5ba4","0x10","stl-vector","enabler.text_system","padding*",""
"enabler","1","0x7a5bb4","0x8","compound","enabler.simticks","",""
"enabler","2","0x7a5bb4","0x4","pointer","enabler.simticks.sem","padding",""
"enabler","2","0x7a5bb8","0x4","int32_t","enabler.simticks.value","",""
"enabler","1","0x7a5bbc","0x8","compound","enabler.gputicks","",""
"enabler","2","0x7a5bbc","0x4","pointer","enabler.gputicks.sem","padding",""
"enabler","2","0x7a5bc0","0x4","int32_t","enabler.gputicks.value","",""
"enabler","1","0x7a5bc4","0x4","uint32_t","enabler.clock","",""
"ui","0","0xa82a38","0x71b8","struct-type","ui","",""
"ui","1","0xa82a38","0x10","padding","ui","",""
"ui","1","0xa82a48","0x10","stl-vector","ui.unk10","padding",""
"ui","1","0xa82a58","0x4c","padding","ui","",""
"ui","1","0xa82aa4","0x10","stl-vector","ui.unk68","padding*",""
"ui","1","0xa82ab4","0x18","padding","ui","",""
"ui","1","0xa82acc","0x8","compound","ui.becoming_capital","",""
"ui","2","0xa82acc","0x4","int32_t","ui.becoming_capital.desired_architecture","",""
"ui","2","0xa82ad0","0x4","int32_t","ui.becoming_capital.desired_offerings","",""
"ui","1","0xa82ad4","0x160","padding","ui","",""
"ui","1","0xa82c34","0x10","stl-vector","ui.currency_value","int32_t",""
"ui","1","0xa82c44","0x32c","padding","ui","",""
"ui","1","0xa82f70","0x10","stl-vector","ui.unk530","int32_t",""
"ui","1","0xa82f80","0x30","compound","ui.wealth","",""
"ui","2","0xa82f80","0x4","int32_t","ui.wealth.total","",""
"ui","2","0xa82f84","0x4","int32_t","ui.wealth.weapons","",""
"ui","2","0xa82f88","0x4","int32_t","ui.wealth.armor","",""
"ui","2","0xa82f8c","0x4","int32_t","ui.wealth.furniture","",""
"ui","2","0xa82f90","0x4","int32_t","ui.wealth.other","",""
"ui","2","0xa82f94","0x4","int32_t","ui.wealth.architecture","",""
"ui","2","0xa82f98","0x4","int32_t","ui.wealth.displayed","",""
